# Weighted undirected edge list — list each pair once; symmetric is implied.
# level: 1 = occasional collaboration, 2 = regular / project-dependent.
# Omit the row entirely for level 0 (no collaboration) — do NOT add level=0 rows.
# Names must exactly match the 'name' column in scores.csv.
person_a,person_b,level
Member A,Member B,2
Member A,Member D,2
Member A,Member E,2
Member A,Member F,2
Member A,Member I,1
Member A,Member J,2
Member B,Member H,1
Member C,Member L,2
Member D,Member I,2
Member E,Member J,2
Member E,Member K,1
Member F,Member G,2
Member F,Member K,1
Member G,Member I,1
Member H,Member J,1
