name,status,order,Plant molecular immunity,Biochemistry,Microbiome,Technology development,Gene editing,Single cell sequencing,Imaging,Epigenetics,Horticulture,Bioinformatics
Member A,current,1,9,8,6,9,6,9,7,7,0,8
Member B,current,2,7,10,2,5,4,4,5,8,0,4
Member C,current,3,3,2,4,3,2,2,4,1,9,2
Member D,current,4,6,5,10,4,3,7,4,5,2,8
Member E,current,5,9,6,3,6,5,9,6,7,0,7
Member F,current,6,6,7,1,9,9,5,7,4,0,6
Member G,current,7,5,4,2,8,4,7,10,4,1,6
Member H,current,8,8,6,4,5,3,7,5,10,0,6
Member I,current,9,6,4,7,8,5,9,6,6,0,10
Member J,current,10,10,7,3,5,5,7,5,6,0,6
Member K,current,11,7,6,2,6,7,6,5,4,0,5
Member L,current,12,2,1,3,2,1,1,3,0,10,1
